Código;Distrito
110020505;Porto Velho
130260305;Manaus
221100105;Teresina
230440005;Fortaleza
230440060;Antônio Bezerra
230440065;Messejana
230440070;Mondubim
230440075;Parangaba
240810205;Natal
260345405;Camaragibe
261110105;Petrolina
261160605;Recife
270430205;Maceió
291080005;Feira de Santana
292740805;Salvador
310570705;Barra Longa
310620005;Belo Horizonte
310620025;Barreiro
310620060;Venda Nova
310670505;Betim
311860105;Contagem
311860110;Parque Industrial
311890805;Cordisburgo
313240405;Itajubá
313670205;Juiz de Fora
315210505;Ponte Nova
316720205;Sete Lagoas
317010705;Uberaba
320520005;Vila Velha
320520010;Argolas
320520015;Ibes
320520020;Jucu
320520025;São Torquato
320530905;Vitória
320530910;Goiabeiras
330040705;Barra Mansa
330040709;Antônio Rocha
330040715;Floriano
330040720;Nossa Senhora do Amparo
330040730;Rialto
330040740;Santa Rita de Cássia
330045605;Belford Roxo
330100905;Campos dos Goytacazes
330093605;Carapebus
330187605;Iguaba Grande
330227005;Japeri
330240305;Macaé
330350005;Nova Iguaçu
330414405;Queimados
330455705;Rio de Janeiro
330520805;São Pedro da Aldeia
410430305;Campo Mourão
410690205;Curitiba
411370005;Londrina
411520005;Maringá
411520010;Floriano
411520015;Iguatemi
430040605;Alegrete
430060405;Alvorada
430060410;Estância Grande
430510805;Caxias do Sul
430543905;Chuí
430660105;Dom Pedrito
430770805;Esteio
431410005;Passo Fundo
431440705;Pelotas
431560205;Rio Grande
431560215;Povo Novo
431560220;Quinta
431560225;Taim
431560230;Ilha dos Marinheiros
431690705;Santa Maria
431750905;Santo Ângelo
431850705;São José do Norte
431850710;Bojuru
431850715;Estreito
500270405;Campo Grande
500660605;Ponta Porã
510340305;Cuiabá
510340310;Coxipó da Ponte
520870705;Goiânia
530010805;Brasília
